segment_index,start_time,end_time,label,total_events,max_magnitude,rms,data_points,sampling_rate,data_completeness,selection_type
914,2011-01-11 04:10:00,2011-01-11 04:15:00,Other,0,0.0,0.7759058280458322,6001,20.0,100.0%,other
916,2011-01-11 04:20:00,2011-01-11 04:25:00,Other,0,0.0,0.7792317494176542,6001,20.0,100.0%,other
938,2011-01-11 06:10:00,2011-01-11 06:15:00,Other,0,0.0,0.778704884696742,6001,20.0,100.0%,other
944,2011-01-11 06:40:00,2011-01-11 06:45:00,Other,0,0.0,0.7801802812069147,6001,20.0,100.0%,other
964,2011-01-11 08:20:00,2011-01-11 08:25:00,Other,0,0.0,0.7695314805061484,6001,20.0,100.0%,other
966,2011-01-11 08:30:00,2011-01-11 08:35:00,Other,0,0.0,0.7754802573357665,6001,20.0,100.0%,other
969,2011-01-11 08:45:00,2011-01-11 08:50:00,Other,0,0.0,0.7665933796858266,6001,20.0,100.0%,other
972,2011-01-11 09:00:00,2011-01-11 09:05:00,Other,0,0.0,0.762051786974072,6001,20.0,100.0%,other
973,2011-01-11 09:05:00,2011-01-11 09:10:00,Other,0,0.0,0.7724961501521496,6001,20.0,100.0%,other
975,2011-01-11 09:15:00,2011-01-11 09:20:00,Other,0,0.0,0.7804657791125044,6001,20.0,100.0%,other
977,2011-01-11 09:25:00,2011-01-11 09:30:00,Other,0,0.0,0.7766227297298746,6001,20.0,100.0%,other
981,2011-01-11 09:45:00,2011-01-11 09:50:00,Other,0,0.0,0.765826596469495,6001,20.0,100.0%,other
982,2011-01-11 09:50:00,2011-01-11 09:55:00,Other,0,0.0,0.7775612050279166,6001,20.0,100.0%,other
983,2011-01-11 09:55:00,2011-01-11 10:00:00,Other,0,0.0,0.7791429358759243,6001,20.0,100.0%,other
987,2011-01-11 10:15:00,2011-01-11 10:20:00,Other,0,0.0,0.7730955022392004,6001,20.0,100.0%,other
998,2011-01-11 11:10:00,2011-01-11 11:15:00,Other,0,0.0,0.7758232065375346,6001,20.0,100.0%,other
1000,2011-01-11 11:20:00,2011-01-11 11:25:00,Other,0,0.0,0.7792466136437609,6001,20.0,100.0%,other
1001,2011-01-11 11:25:00,2011-01-11 11:30:00,Other,0,0.0,0.7716245279463024,6001,20.0,100.0%,other
1006,2011-01-11 11:50:00,2011-01-11 11:55:00,Other,0,0.0,0.7717843032838236,6001,20.0,100.0%,other
1008,2011-01-11 12:00:00,2011-01-11 12:05:00,Other,0,0.0,0.7738735547030967,6001,20.0,100.0%,other
1009,2011-01-11 12:05:00,2011-01-11 12:10:00,Other,0,0.0,0.7752629561393747,6001,20.0,100.0%,other
1018,2011-01-11 12:50:00,2011-01-11 12:55:00,Other,0,0.0,0.7763262415124157,6001,20.0,100.0%,other
1019,2011-01-11 12:55:00,2011-01-11 13:00:00,Other,0,0.0,0.7769964351595781,6001,20.0,100.0%,other
1101,2011-01-11 19:45:00,2011-01-11 19:50:00,Other,0,0.0,1.818950196342522e-14,6001,20.0,100.0%,other
1102,2011-01-11 19:50:00,2011-01-11 19:55:00,Other,0,0.0,0.004700573010766111,6001,20.0,100.0%,other
1103,2011-01-11 19:55:00,2011-01-11 20:00:00,Other,0,0.0,0.5407518729350108,6001,20.0,100.0%,other
1104,2011-01-11 20:00:00,2011-01-11 20:05:00,Other,0,0.0,0.4914764495843529,6001,20.0,100.0%,other
